Date,Visits
1/1/2020,1554
1/2/2020,2820
1/3/2020,2970
1/4/2020,2111
1/5/2020,2393
1/6/2020,3704
1/7/2020,3760
1/8/2020,3698
1/9/2020,4243
1/10/2020,3177
1/11/2020,2361
1/12/2020,2762
1/13/2020,4298
1/14/2020,3838
1/15/2020,3754
1/16/2020,3817
1/17/2020,3175
1/18/2020,2336
1/19/2020,2597
1/20/2020,3715
1/21/2020,4459
1/22/2020,4483
1/23/2020,4225
1/24/2020,3111
1/25/2020,2353
1/26/2020,3198
1/27/2020,4432
1/28/2020,4664
1/29/2020,4471
1/30/2020,4486
1/31/2020,3527
2/1/2020,2514
2/2/2020,2993
2/3/2020,4728
2/4/2020,4883
2/5/2020,5071
2/6/2020,4638
2/7/2020,3757
2/8/2020,2761
2/9/2020,3423
2/10/2020,5066
2/11/2020,4928
2/12/2020,4996
2/13/2020,5004
2/14/2020,3675
2/15/2020,2556
2/16/2020,3732
2/17/2020,4958
2/18/2020,4869
2/19/2020,5224
2/20/2020,4890
2/21/2020,3678
2/22/2020,2456
2/23/2020,3444
2/24/2020,5000
2/25/2020,5496
2/26/2020,5059
2/27/2020,4813
2/28/2020,3810
2/29/2020,2682
3/1/2020,3332
3/2/2020,4872
3/3/2020,5097
3/4/2020,4714
3/5/2020,5048
3/6/2020,3698
3/7/2020,2670
3/8/2020,3416
3/9/2020,4731
3/10/2020,4820
3/11/2020,4813
3/12/2020,4393
3/13/2020,3316
3/14/2020,2416
3/15/2020,2934
3/16/2020,2732
3/17/2020,3805
3/18/2020,3748
3/19/2020,3678
3/20/2020,3322
3/21/2020,2701
3/22/2020,3263
3/23/2020,4105
3/24/2020,4156
3/25/2020,4153
3/26/2020,4256
3/27/2020,3818
3/28/2020,3045
3/29/2020,4079
3/30/2020,4899
3/31/2020,4943
4/1/2020,4907
4/2/2020,4933
4/3/2020,4665
4/4/2020,3366
4/5/2020,3976
4/6/2020,4981
4/7/2020,5331
4/8/2020,5331
4/9/2020,5063
4/10/2020,4252
4/11/2020,3656
4/12/2020,4152
4/13/2020,5089
4/14/2020,5491
4/15/2020,5665
4/16/2020,5423
4/17/2020,4688
4/18/2020,4055
4/19/2020,4830
4/20/2020,5908
4/21/2020,5633
4/22/2020,5786
4/23/2020,5967
4/24/2020,4937
4/25/2020,4327
4/26/2020,5086
4/27/2020,6038
4/28/2020,6324
4/29/2020,6062
4/30/2020,5520
5/1/2020,4670
5/2/2020,4171
5/3/2020,4716
5/4/2020,5939
5/5/2020,6361
5/6/2020,6659
5/7/2020,6264
5/8/2020,5359
5/9/2020,4593
5/10/2020,5092
5/11/2020,6563
5/12/2020,6124
5/13/2020,5817
5/14/2020,6057
5/15/2020,4958
5/16/2020,3651
5/17/2020,4248
5/18/2020,5624
5/19/2020,5595
5/20/2020,5213
5/21/2020,5156
5/22/2020,4350
5/23/2020,3446
5/24/2020,3945
5/25/2020,4639
5/26/2020,5224
5/27/2020,5242
5/28/2020,4939
5/29/2020,4387
5/30/2020,3327
5/31/2020,3692
6/1/2020,4734
6/2/2020,4727
6/3/2020,4994
6/4/2020,4767
6/5/2020,4124
6/6/2020,3230
6/7/2020,3906
6/8/2020,4895
6/9/2020,4871
6/10/2020,4989
6/11/2020,4633
6/12/2020,4475
6/13/2020,2967
6/14/2020,3507
6/15/2020,4337
6/16/2020,4470
6/17/2020,4439
6/18/2020,4895
6/19/2020,3924
6/20/2020,2827
6/21/2020,3481
6/22/2020,4627
6/23/2020,4561
6/24/2020,4626
6/25/2020,4137
6/26/2020,3555
6/27/2020,2671
6/28/2020,3486
6/29/2020,4000
6/30/2020,3828
7/1/2020,3935
7/2/2020,3633
7/3/2020,2997
7/4/2020,2194
7/5/2020,2948
7/6/2020,4049
7/7/2020,3792
7/8/2020,4029
7/9/2020,3945
7/10/2020,3523
7/11/2020,2646
7/12/2020,3454
7/13/2020,3703
7/14/2020,3680
7/15/2020,3479
7/16/2020,3756
7/17/2020,3289
7/18/2020,2416
7/19/2020,2793
7/20/2020,3749
7/21/2020,3786
7/22/2020,4002
7/23/2020,3823
7/24/2020,3430
7/25/2020,2400
7/26/2020,2835
7/27/2020,4001
7/28/2020,3795
7/29/2020,3903
7/30/2020,3397
7/31/2020,3005
8/1/2020,2305
8/2/2020,2696
8/3/2020,3866
8/4/2020,3826
8/5/2020,3673
8/6/2020,3660
8/7/2020,3136
8/8/2020,2223
8/9/2020,2623
8/10/2020,3638
8/11/2020,3740
8/12/2020,3767
8/13/2020,3621
8/14/2020,2971
8/15/2020,2221
8/16/2020,2724
8/17/2020,3456
8/18/2020,3581
8/19/2020,2064
